id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
24,Thunderbird 350,110000.0,2016,Individual,1st owner,20000,,7,4,2857.143,238.095,Royal Enfield
25,Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,11,7,3181.818,265.151,Honda
26,Apache RTR 160 4V,80000.0,2018,Individual,1st owner,15210,,5,4,3042.0,253.5,TVS
27,Navi [2016-2017],42000.0,2017,Individual,1st owner,24000,44389.0,6,5,4000.0,333.333,Honda
28,Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000,84751.0,10,7,3500.0,291.667,Yamaha
29,Splendor NXG,21000.0,2009,Individual,1st owner,10000,,14,2,714.286,59.524,Hero Honda
30,Glamour 125,55000.0,2017,Individual,1st owner,2500,61600.0,6,1,416.667,34.722,Hero
31,FZ S [2012-2016],38000.0,2013,Individual,1st owner,75000,79432.0,10,15,7500.0,625.0,Yamaha
32,Xtreme Sports,43000.0,2016,Individual,2nd owner,50000,78350.0,7,10,7142.857,595.238,Hero
33,X-Blade,65000.0,2018,Individual,1st owner,27000,,5,6,5400.0,450.0,Honda
34,CB Shine SP,62000.0,2019,Individual,1st owner,10000,71049.0,4,2,2500.0,208.333,Honda
35,Activa 5G,60000.0,2018,Individual,1st owner,6502,57557.0,5,2,1300.4,108.367,Honda
36,Glamour 125,45000.0,2018,Individual,1st owner,21000,61600.0,5,5,4200.0,350.0,Hero
37,CBR-250R,120000.0,2016,Individual,1st owner,16000,202310.0,7,4,2285.714,190.476,Honda
38,Passion PRO [2012],30000.0,2011,Individual,1st owner,42000,,12,9,3500.0,291.667,Hero Honda
39,Thunderbird 350,90000.0,2015,Individual,3rd owner,13000,,8,3,1625.0,135.417,Royal Enfield
40,Dominar 400,125000.0,2017,Individual,1st owner,12800,,6,3,2133.333,177.778,Bajaj
41,Glamour FI,50000.0,2018,Individual,1st owner,20000,71150.0,5,4,4000.0,333.333,Hero
42,390 Duke,175000.0,2017,Individual,1st owner,4600,,6,1,766.667,63.889,KTM
43,Passion XPro,28000.0,2012,Individual,1st owner,81000,56750.0,11,17,7363.636,613.636,Hero
44,FZ S V 2.0,85000.0,2018,Individual,1st owner,8000,84042.0,5,2,1600.0,133.333,Yamaha
45,Achiever 150,29900.0,2016,Individual,1st owner,55000,69750.0,7,11,7857.143,654.762,Hero
46,Discover 125,25000.0,2011,Individual,1st owner,57000,60122.0,12,12,4750.0,395.833,Bajaj
47,FZ16,30000.0,2009,Individual,2nd owner,26000,78712.0,14,6,1857.143,154.762,Yamaha
48,Saluto,60000.0,2018,Individual,1st owner,13000,59844.0,5,3,2600.0,216.667,Yamaha
49,FZ16,35000.0,2012,Individual,2nd owner,29000,78712.0,11,6,2636.364,219.697,Yamaha
50,Discover 100,25000.0,2010,Individual,1st owner,43000,42859.0,13,9,3307.692,275.641,Bajaj
51,CB Trigger,30000.0,2015,Individual,1st owner,40000,73413.0,8,8,5000.0,416.667,Honda
52,Electra 5 S,90000.0,2010,Individual,2nd owner,40000,,13,8,3076.923,256.41,Royal Enfield
53,Splendor PRO,35000.0,2015,Individual,2nd owner,24000,49900.0,8,5,3000.0,250.0,Hero
54,Activa 5G,70000.0,2019,Individual,1st owner,3000,59422.0,4,1,750.0,62.5,Honda
55,Passion Plus,25000.0,2006,Individual,1st owner,75000,,17,15,4411.765,367.647,Hero Honda
56,Pulsar 150,25000.0,2010,Individual,1st owner,42000,,13,9,3230.769,269.231,Bajaj
57,Bullet 350,90000.0,2014,Individual,1st owner,13000,,9,3,1444.444,120.37,Royal Enfield
58,Discover 125,25000.0,2013,Individual,1st owner,55000,57549.0,10,11,5500.0,458.333,Bajaj
59,Pulsar 150 [2001-2011],42000.0,2011,Individual,1st owner,23000,,12,5,1916.667,159.722,Bajaj
60,Splendor PRO,35000.0,2015,Individual,2nd owner,24000,51994.0,8,5,3000.0,250.0,Hero
61,Xtreme Sports,50000.0,2014,Individual,1st owner,80000,80350.0,9,16,8888.889,740.741,Hero
62,Activa 3G,30000.0,2015,Individual,1st owner,39000,54605.0,8,8,4875.0,406.25,Honda
63,FZ16,48000.0,2016,Individual,1st owner,20000,78712.0,7,4,2857.143,238.095,Yamaha
64,CB Hornet 160R,65000.0,2016,Individual,1st owner,30000,88161.0,7,6,4285.714,357.143,Honda
65,Thunderbird 350,85000.0,2013,Individual,1st owner,21000,,10,5,2100.0,175.0,Royal Enfield
66,Hunk,45000.0,2014,Individual,1st owner,41000,78513.0,9,9,4555.556,379.63,Hero
67,Let''s,34000.0,2014,Individual,1st owner,8000,50098.0,9,2,888.889,74.074,Suzuki
68,Electra 4 S,90000.0,2008,Individual,1st owner,50000,,15,10,3333.333,277.778,Royal Enfield
69,Scooty Pep Plus,35000.0,2012,Individual,1st owner,8150,,11,2,740.909,61.742,TVS
70,Mojo XT300,165000.0,2017,Individual,1st owner,1933,195500.0,6,1,322.167,26.847,Mahindra
71,Apache RTR 160,35000.0,2013,Individual,1st owner,55750,,10,12,5575.0,464.583,TVS
72,Pulsar AS200,65000.0,2015,Individual,1st owner,15856,92074.0,8,4,1982.0,165.167,Bajaj
73,Pulsar 150,29500.0,2013,Individual,1st owner,27000,,10,6,2700.0,225.0,Bajaj
74,Thunderbird 350X,165000.0,2019,Individual,1st owner,3700,164004.0,4,1,925.0,77.083,Royal Enfield
75,Intruder 150,95000.0,2018,Individual,1st owner,21938,,5,5,4387.6,365.633,Suzuki
76,Karizma ZMR [2010],50000.0,2010,Individual,1st owner,48000,,13,10,3692.308,307.692,Hero Honda
77,Dio,7500.0,2009,Individual,2nd owner,16000,,14,4,1142.857,95.238,Honda
78,Xcd,25000.0,2008,Individual,1st owner,54000,,15,11,3600.0,300.0,Bajaj
79,Splendor Plus,35000.0,2014,Individual,2nd owner,35000,,9,7,3888.889,324.074,Hero
80,Thunderbird 350X,160000.0,2018,Individual,1st owner,15000,,5,3,3000.0,250.0,Royal Enfield
81,CB Unicorn 150,50000.0,2014,Individual,1st owner,32000,74295.0,9,7,3555.556,296.296,Honda
82,Activa 5G,62000.0,2019,Individual,1st owner,3500,57557.0,4,1,875.0,72.917,Honda
83,CB Twister,30000.0,2013,Individual,1st owner,9000,53857.0,10,2,900.0,75.0,Honda
84,Splendor PRO,28000.0,2015,Individual,1st owner,38000,49642.0,8,8,4750.0,395.833,Hero
85,CD Deluxe,25000.0,2009,Individual,1st owner,50000,,14,10,3571.429,297.619,Hero Honda
86,Activa i [2016-2017],30000.0,2015,Individual,2nd owner,20000,51112.0,8,4,2500.0,208.333,Honda
87,Classic Gunmetal Grey,140000.0,2018,Individual,1st owner,22000,148114.0,5,5,4400.0,366.667,Royal Enfield
88,Scooty Zest 110,30000.0,2017,Individual,1st owner,9432,53751.0,6,2,1572.0,131.0,TVS
89,CD Deluxe,25000.0,2014,Individual,1st owner,70000,,9,14,7777.778,648.148,Hero
90,Access 125 [2007-2016],22000.0,2010,Individual,2nd owner,43000,58314.0,13,9,3307.692,275.641,Suzuki
91,Activa [2000-2015],22989.0,2012,Individual,1st owner,500000,50267.0,11,100,45454.545,3787.879,Honda
92,Activa 125 [2016-2017],42000.0,2016,Individual,1st owner,30514,61653.0,7,7,4359.143,363.262,Honda
93,GS150R,30000.0,2010,Individual,1st owner,130000,70851.0,13,26,10000.0,833.333,Suzuki
94,Pulsar 220S,55000.0,2015,Individual,1st owner,45000,,8,9,5625.0,468.75,Bajaj
95,Activa 4G,45000.0,2018,Individual,1st owner,25000,53079.0,5,5,5000.0,416.667,Honda
96,FZ25,150000.0,2019,Individual,1st owner,2500,133680.0,4,1,625.0,52.083,Yamaha
97,Pulsar 150,42000.0,2015,Individual,1st owner,22770,,8,5,2846.25,237.188,Bajaj
98,Splendor Plus,30000.0,2015,Individual,1st owner,30000,,8,6,3750.0,312.5,Hero
99,Discover 100,24999.0,2012,Individual,2nd owner,35000,42859.0,11,7,3181.818,265.151,Bajaj
100,Thunderbird 350X,160000.0,2019,Individual,1st owner,6330,,4,2,1582.5,131.875,Royal Enfield
101,Classic 350,175000.0,2020,Individual,1st owner,500,,3,1,166.667,13.889,Royal Enfield
102,Pulsar 150,40000.0,2013,Individual,1st owner,43400,,10,9,4340.0,361.667,Bajaj
103,Pulsar NS160,85000.0,2018,Individual,1st owner,7004,,5,2,1400.8,116.733,Bajaj
104,Classic Desert Storm,150000.0,2017,Individual,1st owner,16500,181445.0,6,4,2750.0,229.167,Royal Enfield
105,Gixxer SF,80000.0,2018,Individual,1st owner,12500,,5,3,2500.0,208.333,Suzuki
106,Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,5,2,1920.0,160.0,TVS
107,V15,42000.0,2016,Individual,1st owner,35000,65626.0,7,7,5000.0,416.667,Bajaj
108,XL 100 Heavy Duty,40000.0,2019,Individual,1st owner,11000,,4,3,2750.0,229.167,TVS
109,FZ S V 2.0,50000.0,2015,Individual,1st owner,20000,84042.0,8,4,2500.0,208.333,Yamaha
110,HF Deluxe,40000.0,2018,Individual,1st owner,13000,,5,3,2600.0,216.667,Hero
111,SR 125,75000.0,2019,Individual,1st owner,3500,,4,1,875.0,72.917,Aprilia
112,FZ25,120000.0,2017,Individual,1st owner,9000,132680.0,6,2,1500.0,125.0,Yamaha
113,Glamour,30000.0,2008,Individual,1st owner,7500,,15,2,500.0,41.667,Hero Honda
114,Discover 125 ST,17500.0,2013,Individual,1st owner,38000,58438.0,10,8,3800.0,316.667,Bajaj
115,Passion Plus,7500.0,2004,Individual,1st owner,120000,,19,24,6315.789,526.316,Hero Honda
116,Aviator,57000.0,2018,Individual,1st owner,6465,61118.0,5,2,1293.0,107.75,Honda
117,SXL 149,80000.0,2018,Individual,1st owner,18803,,5,4,3760.6,313.383,Vespa
118,Scooty Pep Plus,18000.0,2010,Individual,1st owner,20000,,13,4,1538.462,128.205,TVS
119,Xtreme [2013-2014],25000.0,2013,Individual,1st owner,24000,75936.0,10,5,2400.0,200.0,Hero
120,Thunderbird 350,83900.0,2014,Individual,2nd owner,22000,,9,5,2444.444,203.704,Royal Enfield
121,Renegade Commando,160000.0,2018,Individual,1st owner,7000,180525.0,5,2,1400.0,116.667,UM
122,Classic Gunmetal Grey,135000.0,2018,Individual,1st owner,6100,148114.0,5,2,1220.0,101.667,Royal Enfield
123,CB Hornet 160R,55000.0,2017,Individual,1st owner,14000,87543.0,6,3,2333.333,194.444,Honda
124,Shine,50000.0,2017,Individual,1st owner,23000,,6,5,3833.333,319.444,Honda
125,Discover 100,20000.0,2012,Individual,1st owner,85000,42859.0,11,17,7727.273,643.939,Bajaj
126,CBZ extreme,25000.0,2010,Individual,1st owner,40000,,13,8,3076.923,256.41,Hero Honda
127,Classic 350,125000.0,2017,Individual,1st owner,18000,,6,4,3000.0,250.0,Royal Enfield
128,Activa 5G,55000.0,2019,Individual,1st owner,10000,57557.0,4,2,2500.0,208.333,Honda
129,Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,40000,80435.0,7,8,5714.286,476.19,Bajaj
130,Continental GT 650,299000.0,2019,Individual,1st owner,1500,,4,1,375.0,31.25,Royal Enfield
131,Activa 3G,60000.0,2015,Individual,1st owner,30000,54605.0,8,6,3750.0,312.5,Honda
132,Activa 3G,40000.0,2015,Individual,1st owner,3000,54605.0,8,1,375.0,31.25,Honda
133,Pulsar 180,15000.0,2008,Individual,1st owner,55000,85011.0,15,11,3666.667,305.556,Bajaj
134,Street Bob,750000.0,2013,Individual,2nd owner,12000,1278000.0,10,3,1200.0,100.0,Harley-Davidson
135,CBZ extreme,20000.0,2007,Individual,1st owner,90000,,16,18,5625.0,468.75,Hero Honda
136,Classic Gunmetal Grey,190000.0,2020,Individual,1st owner,500,155740.0,3,1,166.667,13.889,Royal Enfield
137,390 Duke ABS [2013-2016],130000.0,2015,Individual,1st owner,50000,202127.0,8,10,6250.0,520.833,KTM
138,CB Hornet 160R,54786.0,2016,Individual,1st owner,25000,88161.0,7,5,3571.429,297.619,Honda
139,200 Duke,72000.0,2013,Individual,1st owner,36500,,10,8,3650.0,304.167,KTM
140,Karizma 2014,35000.0,2013,Individual,1st owner,26000,86744.0,10,6,2600.0,216.667,Hero
141,Glamour 125,45000.0,2017,Individual,1st owner,18000,61600.0,6,4,3000.0,250.0,Hero
142,Classic 350,85000.0,2013,Individual,1st owner,49000,,10,10,4900.0,408.333,Royal Enfield
143,Classic 500,100000.0,2013,Individual,1st owner,18000,156304.0,10,4,1800.0,150.0,Royal Enfield
144,Dominar 400,138000.0,2017,Individual,1st owner,15000,,6,3,2500.0,208.333,Bajaj
145,Thunderbird 350X,150000.0,2018,Individual,1st owner,8500,,5,2,1700.0,141.667,Royal Enfield
146,RC 390,180000.0,2017,Individual,1st owner,3775,,6,1,629.167,52.431,KTM
147,Thunderbird 350,100000.0,2015,Individual,1st owner,14500,,8,3,1812.5,151.042,Royal Enfield
148,Hunk,20000.0,2010,Individual,1st owner,35000,78513.0,13,7,2692.308,224.359,Hero
149,390 Duke,170000.0,2017,Individual,1st owner,14000,,6,3,2333.333,194.444,KTM
150,Gixxer [2014-2018],60000.0,2016,Individual,1st owner,16000,84246.0,7,4,2285.714,190.476,Suzuki
151,Bullet 350,123000.0,2016,Individual,1st owner,7000,,7,2,1000.0,83.333,Royal Enfield
152,Access 125,60000.0,2017,Individual,1st owner,4000,,6,1,666.667,55.556,Suzuki
153,Apache RTR 200 4V,100000.0,2017,Individual,1st owner,45000,,6,9,7500.0,625.0,TVS
154,Xtreme Sports,22000.0,2014,Individual,1st owner,99000,78350.0,9,20,11000.0,916.667,Hero
155,Activa [2000-2015],30000.0,2014,Individual,1st owner,52000,50267.0,9,11,5777.778,481.482,Honda
156,Discover 125,28000.0,2013,Individual,1st owner,45000,60122.0,10,9,4500.0,375.0,Bajaj
157,Pulsar 150,50000.0,2007,Individual,1st owner,52000,,16,11,3250.0,270.833,Bajaj
158,Saluto RX,40000.0,2017,Individual,1st owner,27000,49521.0,6,6,4500.0,375.0,Yamaha
159,HF Deluxe,43000.0,2018,Individual,1st owner,60000,,5,12,12000.0,1000.0,Hero
160,Access 125,40000.0,2015,Individual,1st owner,2300,,8,1,287.5,23.958,Suzuki
161,Classic Desert Storm,100000.0,2012,Individual,1st owner,15000,181445.0,11,3,1363.636,113.636,Royal Enfield
162,HF Deluxe,30000.0,2016,Individual,1st owner,50000,,7,10,7142.857,595.238,Hero
163,RC 200,130000.0,2017,Individual,1st owner,27000,,6,6,4500.0,375.0,KTM
164,CB Hornet 160R,48000.0,2016,Individual,2nd owner,25000,88161.0,7,5,3571.429,297.619,Honda
165,CT 100,32000.0,2017,Individual,1st owner,40000,,6,8,6666.667,555.556,Bajaj
166,Pleasure,23000.0,2010,Individual,1st owner,32000,,13,7,2461.538,205.128,Hero Honda
167,Pulsar 135 LS,20000.0,2010,Individual,2nd owner,50000,64589.0,13,10,3846.154,320.513,Bajaj
168,Classic 350,125000.0,2017,Individual,1st owner,36000,,6,8,6000.0,500.0,Royal Enfield
169,Navi [2016-2017],23000.0,2016,Individual,1st owner,17450,44389.0,7,4,2492.857,207.738,Honda
170,Discover 125,15000.0,2011,Individual,1st owner,32000,57549.0,12,7,2666.667,222.222,Bajaj
171,SZ RR V 2.0,35000.0,2015,Individual,1st owner,38000,69983.0,8,8,4750.0,395.833,Yamaha
172,Discover 150,25000.0,2014,Individual,2nd owner,71000,54299.0,9,15,7888.889,657.407,Bajaj
173,Pulsar 150,80000.0,2019,Individual,1st owner,8000,,4,2,2000.0,166.667,Bajaj
174,Flame,15000.0,2010,Individual,1st owner,12000,,13,3,923.077,76.923,TVS
175,VX 125,45000.0,2013,Individual,2nd owner,50000,72303.0,10,10,5000.0,416.667,Vespa
176,SZ X,25000.0,2012,Individual,2nd owner,30000,65800.0,11,6,2727.273,227.273,Yamaha
177,CBF Stunner,35000.0,2013,Individual,1st owner,15888,58757.0,10,4,1588.8,132.4,Honda
178,Discover 100 T,25000.0,2013,Individual,1st owner,26000,47032.0,10,6,2600.0,216.667,Bajaj
179,Classic 350,170000.0,2018,Individual,1st owner,5600,,5,2,1120.0,93.333,Royal Enfield
180,Activa [2000-2015],25000.0,2014,Individual,1st owner,41000,50267.0,9,9,4555.556,379.63,Honda
181,Electra 5 S,60000.0,2007,Individual,2nd owner,19612,,16,4,1225.75,102.146,Royal Enfield
182,Pulsar 150,41000.0,2012,Individual,1st owner,17000,,11,4,1545.455,128.788,Bajaj
183,Shine,35000.0,2012,Individual,1st owner,33700,,11,7,3063.636,255.303,Honda
184,CB Unicorn 160,75000.0,2015,Individual,1st owner,100000,79233.0,8,20,12500.0,1041.667,Honda
185,Activa 3G,47999.0,2016,Individual,1st owner,6000,54605.0,7,2,857.143,71.429,Honda
186,Shine,36999.0,2011,Individual,1st owner,21000,,12,5,1750.0,145.833,Honda
187,Pulsar 180,25000.0,2007,Individual,1st owner,80000,85011.0,16,16,5000.0,416.667,Bajaj
188,Gixxer SF,60000.0,2016,Individual,1st owner,15000,,7,3,2142.857,178.571,Suzuki
189,CB Unicorn 150,50000.0,2007,Individual,1st owner,46000,74295.0,16,10,2875.0,239.583,Honda
190,YZF R15 [2011-2018],65000.0,2013,Individual,1st owner,11000,118997.0,10,3,1100.0,91.667,Yamaha
191,Sport,12000.0,2007,Individual,1st owner,72000,,16,15,4500.0,375.0,TVS
192,Pulsar AS200,60000.0,2015,Individual,1st owner,50000,92074.0,8,10,6250.0,520.833,Bajaj
193,Activa [2000-2015],20000.0,2010,Individual,1st owner,50000,50267.0,13,10,3846.154,320.513,Honda
194,FZ16,27000.0,2011,Individual,1st owner,67000,78712.0,12,14,5583.333,465.278,Yamaha
195,Boxer,10000.0,2000,Individual,1st owner,30000,,23,6,1304.348,108.696,Bajaj
196,Hunk,56000.0,2015,Individual,1st owner,48000,,8,10,6000.0,500.0,Hero Honda
197,Hunk,58000.0,2015,Individual,1st owner,48000,,8,10,6000.0,500.0,Hero Honda
198,Avenger Cruise 220,87000.0,2018,Individual,1st owner,8000,,5,2,1600.0,133.333,Bajaj
199,Ray Z,35000.0,2015,Individual,1st owner,15500,52949.0,8,4,1937.5,161.458,Yamaha
200,Pulsar 180,35000.0,2012,Individual,1st owner,45000,85011.0,11,9,4090.909,340.909,Bajaj
201,Discover 150F,40000.0,2014,Individual,2nd owner,60855,64071.0,9,13,6761.667,563.472,Bajaj
202,Pulsar 135 LS,56000.0,2017,Individual,3rd owner,37714,64589.0,6,8,6285.667,523.806,Bajaj
203,Pulsar 180,30000.0,2008,Individual,2nd owner,60000,85011.0,15,12,4000.0,333.333,Bajaj
204,Activa 125 [2016-2017],40000.0,2017,Individual,1st owner,26000,61545.0,6,6,4333.333,361.111,Honda
205,HF Deluxe,60000.0,2019,Individual,1st owner,6000,,4,2,1500.0,125.0,Hero
206,Karizma 2014,40000.0,2013,Individual,1st owner,30000,86744.0,10,6,3000.0,250.0,Hero
207,Platina 100,40000.0,2018,Individual,1st owner,17000,,5,4,3400.0,283.333,Bajaj
208,Bullet 500,130000.0,2015,Individual,1st owner,34601,168482.0,8,7,4325.125,360.427,Royal Enfield
209,Pulsar AS200,45000.0,2015,Individual,1st owner,48000,92074.0,8,10,6000.0,500.0,Bajaj
210,FZ S [2012-2016],42000.0,2013,Individual,1st owner,60000,79432.0,10,12,6000.0,500.0,Yamaha
211,Pulsar 220 Fi,25000.0,2012,Individual,1st owner,44000,,11,9,4000.0,333.333,Bajaj
212,Pulsar 150,15000.0,2006,Individual,1st owner,55000,,17,11,3235.294,269.608,Bajaj
213,Dominar 400 [2018],170000.0,2018,Individual,1st owner,16000,163331.0,5,4,3200.0,266.667,Bajaj
214,Passion X Pro [2016-2017],38000.0,2016,Individual,2nd owner,20000,59095.0,7,4,2857.143,238.095,Hero
215,FZ S V 2.0,60000.0,2015,Individual,2nd owner,17500,84042.0,8,4,2187.5,182.292,Yamaha
216,Apache RTR 160,65000.0,2017,Individual,1st owner,46000,,6,10,7666.667,638.889,TVS
217,Avenger [2015],35000.0,2011,Individual,1st owner,30000,75502.0,12,6,2500.0,208.333,Bajaj
218,Pulsar 150,70000.0,2019,Individual,1st owner,6500,,4,2,1625.0,135.417,Bajaj
219,Glamour,15000.0,2006,Individual,1st owner,80000,,17,16,4705.882,392.157,Hero Honda
220,Splendor iSmart,50000.0,2017,Individual,2nd owner,10000,52271.0,6,2,1666.667,138.889,Hero
221,Classic 350,145000.0,2017,Individual,1st owner,2200,,6,1,366.667,30.556,Royal Enfield
222,FZ16,25000.0,2008,Individual,1st owner,40000,78712.0,15,8,2666.667,222.222,Yamaha
223,Xtreme Sports,58000.0,2016,Individual,1st owner,21000,80350.0,7,5,3000.0,250.0,Hero
224,Bullet 350 [2007-2011],90000.0,2007,Individual,1st owner,3500,,16,1,218.75,18.229,Royal Enfield
225,Passion,9000.0,2002,Individual,2nd owner,66191,,21,14,3151.952,262.663,Hero Honda
226,Discover 150S,40000.0,2014,Individual,1st owner,50000,63331.0,9,10,5555.556,462.963,Bajaj
227,Scooty Zest 110,28000.0,2015,Individual,1st owner,32800,52372.0,8,7,4100.0,341.667,TVS
228,Avenger Street 150 [2018],50000.0,2016,Individual,1st owner,32000,80435.0,7,7,4571.429,380.952,Bajaj
229,Cygnus Ray ZR,56000.0,2019,Individual,1st owner,3900,58630.0,4,1,975.0,81.25,Yamaha
230,Activa [2000-2015],35000.0,2014,Individual,1st owner,10000,50267.0,9,2,1111.111,92.593,Honda
231,Apache RTR 200 4V,95000.0,2018,Individual,1st owner,9600,,5,2,1920.0,160.0,TVS
232,Shine,30000.0,2010,Individual,1st owner,46782,,13,10,3598.615,299.885,Honda
233,CB Hornet 160R,95000.0,2019,Individual,1st owner,8000,94703.0,4,2,2000.0,166.667,Honda
234,Activa i [2016-2017],40000.0,2017,Individual,1st owner,11000,53436.0,6,3,1833.333,152.778,Honda
235,Karizma 2014,30000.0,2014,Individual,2nd owner,51000,86744.0,9,11,5666.667,472.222,Hero
236,Discover 100 T,18000.0,2013,Individual,1st owner,45000,47032.0,10,9,4500.0,375.0,Bajaj
237,Aviator,14000.0,2008,Individual,1st owner,66000,59183.0,15,14,4400.0,366.667,Honda
238,Splendor Plus,17000.0,2010,Individual,2nd owner,50000,,13,10,3846.154,320.513,Hero
239,Thunderbird 350,125000.0,2017,Individual,1st owner,23500,,6,5,3916.667,326.389,Royal Enfield
240,CT 110,20000.0,2015,Individual,1st owner,25000,,8,5,3125.0,260.417,Bajaj
241,Passion PRO i3s,50000.0,2017,Individual,1st owner,41000,56925.0,6,9,6833.333,569.444,Hero
242,RC 390,210000.0,2017,Individual,1st owner,12000,,6,3,2000.0,166.667,KTM
243,Pulsar 220F,70000.0,2018,Individual,1st owner,33000,,5,7,6600.0,550.0,Bajaj
244,Maestro Edge,40000.0,2017,Individual,1st owner,15000,55980.0,6,3,2500.0,208.333,Hero
245,Xcd,10000.0,2008,Individual,1st owner,50000,,15,10,3333.333,277.778,Bajaj
246,Pulsar 150,35000.0,2010,Individual,1st owner,40000,,13,8,3076.923,256.41,Bajaj
247,Centra,10000.0,2005,Individual,1st owner,50000,,18,10,2777.778,231.481,TVS
248,Activa 3G,42000.0,2015,Individual,1st owner,20000,54605.0,8,4,2500.0,208.333,Honda
249,FZ16,20000.0,2009,Individual,1st owner,50000,78712.0,14,10,3571.429,297.619,Yamaha
250,Maestro Edge,25000.0,2017,Individual,1st owner,55000,52790.0,6,11,9166.667,763.889,Hero
251,Discover 125,25000.0,2016,Individual,1st owner,70350,60122.0,7,15,10050.0,837.5,Bajaj
252,Thunderbird 350X,145000.0,2019,Individual,1st owner,2700,164004.0,4,1,675.0,56.25,Royal Enfield
253,Super Splendor,50000.0,2016,Individual,1st owner,20000,,7,4,2857.143,238.095,Hero
254,Scooty Pep Plus,30000.0,2011,Individual,1st owner,20000,,12,4,1666.667,138.889,TVS
255,FZ V 2.0,60000.0,2014,Individual,1st owner,41311,81508.0,9,9,4590.111,382.509,Yamaha
256,Splendor Plus,15000.0,2005,Individual,1st owner,65000,,18,13,3611.111,300.926,Hero Honda
257,CD Deluxe,15000.0,2014,Individual,2nd owner,34000,,9,7,3777.778,314.815,Hero
258,Passion PRO [2012],25000.0,2011,Individual,1st owner,20000,,12,4,1666.667,138.889,Hero Honda
259,HF Deluxe i3s,54000.0,2019,Individual,1st owner,11000,,4,3,2750.0,229.167,Hero
260,Xcd,25000.0,2007,Individual,1st owner,75000,,16,15,4687.5,390.625,Bajaj
261,Interceptor 650,260000.0,2019,Individual,1st owner,1200,,4,1,300.0,25.0,Royal Enfield
262,CBR-250R,100000.0,2014,Individual,1st owner,19000,199275.0,9,4,2111.111,175.926,Honda
263,Kristal,15000.0,2007,Individual,1st owner,30000,,16,6,1875.0,156.25,Bajaj
264,Splendor Plus,20000.0,2006,Individual,1st owner,23000,,17,5,1352.941,112.745,Hero Honda
265,Dream Yuga,35000.0,2014,Individual,1st owner,10000,56147.0,9,2,1111.111,92.593,Honda
266,FZ S V 2.0,50000.0,2016,Individual,1st owner,40000,87042.0,7,8,5714.286,476.19,Yamaha
267,Xpulse 200,90000.0,2019,Individual,1st owner,8600,107500.0,4,2,2150.0,179.167,Hero
